taco_class,container_class
Aerosol,plastic_metal_carton
Aluminium blister pack,plastic_metal_carton
Aluminium foil,plastic_metal_carton
Battery,residual
Broken glass,glass
Carded blister pack,plastic_metal_carton
Cigarette,residual
Clear plastic bottle,plastic_metal_carton
Corrugated carton,paper_cardboard
Crisp packet,residual
Disposable food container,residual
Disposable plastic cup,plastic_metal_carton
Drink can,plastic_metal_carton
Drink carton,plastic_metal_carton
Egg carton,paper_cardboard
Foam cup,residual
Foam food container,residual
Food Can,plastic_metal_carton
Food waste,organic
Garbage bag,plastic_metal_carton
Glass bottle,glass
Glass cup,glass
Glass jar,glass
Magazine paper,paper_cardboard
Meal carton,plastic_metal_carton
Metal bottle cap,plastic_metal_carton
Metal lid,plastic_metal_carton
Normal paper,paper_cardboard
Other carton,plastic_metal_carton
Other plastic,plastic_metal_carton
Other plastic bottle,plastic_metal_carton
Other plastic container,plastic_metal_carton
Other plastic cup,plastic_metal_carton
Other plastic wrapper,plastic_metal_carton
Paper bag,paper_cardboard
Paper cup,paper_cardboard
Paper straw,paper_cardboard
Pizza box,paper_cardboard
Plastic bottle cap,plastic_metal_carton
Plastic film,plastic_metal_carton
Plastic glooves,plastic_metal_carton
Plastic lid,plastic_metal_carton
Plastic straw,residual
Plastic utensils,residual
Polypropylene bag,plastic_metal_carton
Pop tab,plastic_metal_carton
Rope & strings,residual
Scrap metal,plastic_metal_carton
Shoe,residual
Single-use carrier bag,plastic_metal_carton
Six pack rings,plastic_metal_carton
Squeezable tube,plastic_metal_carton
Spread tub,plastic_metal_carton
Styrofoam piece,residual
Tissues,residual
Toilet tube,paper_cardboard
Tupperware,plastic_metal_carton
Unlabeled litter,residual
Wrapping paper,paper_cardboard
